"IDpol","Year","Damage","Fire","Other","Theft","TPL","Windscreen"
"40201170.10a",2003,0,0,0,0,1,0
"40201471.101a",2003,0,0,0,0,0,1
"40202177.101c",2003,0,0,0,0,1,0
"40202177.101d",2003,1,0,0,0,0,0
"40202576.101a",2003,0,0,0,0,0,1
"41.10Aa",2003,1,0,0,0,0,0
"450.10b",2003,0,0,0,0,1,0
"50100003.101a",2003,0,0,0,0,0,1
"50100016.10a",2003,0,0,0,0,0,1
"50100019.104a",2003,0,0,0,0,0,1
"50100028.100a",2003,0,0,0,0,1,1
"50100047.101b",2003,0,0,0,0,1,0
"50100252.101a",2003,0,0,0,0,1,0
"50100261.101b",2003,0,0,0,0,0,1
"50200013.100b",2003,0,0,0,0,0,1
"50200078.101a",2003,0,0,0,0,0,1
"50200079.102a",2003,0,0,0,0,0,1
"50200114.101a",2003,0,0,0,0,0,1
"50200114.10a",2003,0,0,0,0,1,0
"50200114.10b",2003,0,0,0,0,0,1
"50200117.101a",2003,0,0,0,0,0,1
"50200140.101b",2003,0,0,0,1,1,0
"50200323.101a",2003,0,0,1,0,1,0
"50200387.101a",2003,0,0,0,0,1,0
"50200670.101a",2003,1,0,0,0,0,0
"50200804.103a",2003,0,0,0,0,1,0
"50200824.101a",2003,0,0,0,0,0,1
"50200829.101b",2003,0,0,0,0,1,0
"50200836.101a",2003,0,0,0,0,1,0
"50200843.100a",2003,0,0,0,1,0,0
"557.100b",2003,0,0,0,0,1,0
"571.10a",2003,0,0,0,0,1,0
"576.10a",2003,0,0,0,0,0,1
"60100028.10b",2003,0,0,0,0,1,0
"60100035.10b",2003,0,0,0,0,0,1
"60100036.10a",2003,0,0,0,0,0,1
"60100036.10b",2003,1,0,0,0,0,0
"60100041.10a",2003,0,0,0,0,1,0
"60100124.100a",2003,0,0,0,0,0,1
"60100130.10a",2003,0,0,0,1,0,0
"60100350.10b",2003,0,0,0,0,1,0
"60100379.101a",2003,0,0,0,0,0,1
"60100379.101b",2003,0,0,0,0,1,1
"60100422.10a",2003,0,0,0,0,1,0
"60100431.10a",2003,0,0,0,0,0,1
"60200013.10a",2003,0,0,0,0,0,1
"60200030.10a",2003,0,0,1,0,0,0
"60200030.10b",2003,1,0,0,0,0,0
"60200041.10a",2003,1,0,0,0,0,0
"60200072.100a",2003,1,0,0,0,0,0
"60200077.10d",2003,0,0,0,0,1,0
"60200149.10b",2003,1,0,0,0,1,0
"60200198.10a",2003,1,0,0,0,0,0
"60200199.10a",2003,0,0,0,0,1,0
"60200214.10a",2003,0,0,0,1,0,0
"60200217.10a",2003,1,0,0,0,0,0
"60200225.100a",2003,0,0,0,0,1,0
"60200298.100a",2003,0,0,0,1,0,0
"70100046.10a",2003,0,0,0,0,0,1
"70100061.102a",2003,0,0,0,0,1,0
"70100084.100a",2003,0,0,0,0,0,1
"70100099.100b",2003,0,0,0,0,0,1
"70100150.100a",2003,0,0,0,0,0,1
"70100204.101a",2003,1,0,0,0,0,0
"70100206.101a",2003,0,0,0,1,0,0
"70200016.10a",2003,0,0,0,0,1,0
"70200049.10a",2003,0,0,0,0,0,1
"70200066.101a",2003,0,0,0,0,0,1
"70200073.10b",2003,0,0,0,0,0,1
"70200083.102a",2003,1,0,0,0,0,0
"70200102.10a",2003,0,0,0,0,0,1
"70200133.101a",2003,0,0,0,0,1,0
"70200358.100a",2003,0,0,0,0,1,1
"70200385.102b",2003,0,0,0,0,1,0
"70200392.10a",2003,0,0,0,0,0,1
"70200393.101b",2003,0,0,0,0,1,0
"70200822.101a",2003,0,0,0,0,0,1
"70200824.101b",2003,0,0,0,0,0,1
"70200828.100a",2003,1,0,0,0,0,0
"70200830.101a",2003,0,0,0,0,2,0
"70200837.10a",2003,0,0,0,0,1,0
"70200914.10a",2003,0,0,0,0,0,1
"70200925.10a",2003,0,0,0,0,1,0
"70201117.101a",2003,0,0,0,0,0,2
"70201421.100b",2003,0,0,0,0,1,0
"70201513.100a",2003,1,0,0,0,0,0
"70201516.10b",2003,0,0,0,0,0,1
"70201517.10b",2003,0,0,0,0,0,1
"70201526.100a",2003,0,0,0,0,0,1
"70201617.101c",2003,0,0,0,0,0,1
"70202111.100a",2003,1,0,0,0,0,0
"70202812.100b",2003,0,0,0,0,1,0
"70202920.10a",2003,0,0,0,0,0,1
"70202921.10a",2003,0,0,0,1,0,0
"70203113.101a",2003,0,0,0,0,0,1
"70203526.10a",2003,0,0,1,0,0,0
"70203714.100a",2003,0,0,0,0,1,1
"70205516.100a",2003,0,0,0,0,0,1
"70205518.102a",2003,0,0,0,0,0,1
"70205518.10b",2003,0,0,0,0,0,1
"70205919.101b",2003,1,0,0,0,0,0
"70206016.10a",2003,0,0,0,0,0,1
"70206219.101a",2003,0,0,0,0,0,1
"70206322.10b",2003,0,0,0,0,1,0
"70207520.102a",2003,0,0,0,0,0,1
"80100007.10b",2003,0,0,0,0,1,0
"80100008.102a",2003,0,0,1,0,0,0
"80100013.100a",2003,0,0,0,0,1,0
"80100017.10a",2003,0,0,0,0,0,1
"80100017.10d",2003,0,0,0,0,0,1
"80100018.10a",2003,0,0,0,0,0,1
"80100030.10a",2003,0,0,0,0,1,0
"80100041.10b",2003,0,0,0,0,1,0
"80100061.10a",2003,0,0,0,0,0,1
"80100062.10b",2003,0,0,0,0,0,1
"80100089.101a",2003,0,0,0,0,0,1
"80100089.101b",2003,0,0,0,0,1,0
"80100135.10a",2003,0,0,0,0,0,1
"80100135.10b",2003,0,0,0,0,1,0
"80100135.10c",2003,0,0,0,0,0,1
"80100146.10c",2003,0,0,0,0,0,1
"80100161.10a",2003,0,0,0,0,2,0
"80100176.102e",2003,0,0,0,1,0,0
"80100177.101a",2003,0,0,0,0,0,1
"80100177.101c",2003,0,0,0,0,1,0
"80100186.101a",2003,0,0,0,0,0,1
"80100187.10a",2003,0,0,0,0,0,1
"80100208.101a",2003,0,0,0,0,0,1
"80100210.10c",2003,0,0,0,0,1,0
"80100221.100a",2003,0,0,0,0,0,1
"80100230.10a",2003,0,0,0,0,1,0
"80100244.10a",2003,0,0,0,0,0,1
"80100253.103a",2003,0,0,0,0,0,1
"80100260.101a",2003,0,0,0,0,1,0
"80100263.10b",2003,0,0,0,1,0,0
"80100281.100a",2003,0,0,0,0,0,1
"80200009.101a",2003,0,0,0,0,1,0
"80200028.10a",2003,0,0,0,0,0,1
"80200034.10a",2003,0,0,0,0,1,0
"80200039.10a",2003,0,0,0,0,0,1
"80200127.101a",2003,1,0,0,0,0,0
"80200136.102c",2003,0,0,0,0,1,0
"80200136.102d",2003,0,0,0,0,1,0
"80200150.101a",2003,0,0,0,0,1,0
"80200157.10a",2003,0,0,0,0,1,0
"80200167.10a",2003,1,0,0,0,0,0
"80200195.100a",2003,0,0,0,0,0,1
"80200273.10b",2003,0,0,0,0,1,0
"80200295.10a",2003,0,0,0,0,1,0
"80200715.10b",2003,0,0,0,0,1,0
"80200740.102a",2003,0,0,0,0,1,0
"80200741.101a",2003,0,0,0,0,1,1
"80200761.101a",2003,0,0,0,0,0,1
"80200772.101a",2003,0,0,0,1,0,0
"80201113.10g",2003,1,0,0,0,0,0
"80201128.102a",2003,0,0,0,0,1,0
"80201131.101a",2003,0,0,0,0,1,0
"80201138.101a",2003,0,0,0,0,0,1
"80201138.102c",2003,0,0,0,0,0,1
"80201143.101b",2003,1,0,0,0,0,0
"80201149.101a",2003,0,0,0,0,0,1
"80201160.101a",2003,0,0,0,0,1,0
"80201166.101a",2003,0,0,0,0,0,1
"80201168.101b",2003,0,0,0,0,1,0
"80201171.101a",2003,0,0,0,0,1,0
"853.10a",2003,0,0,0,0,1,0
"90010389.101c",2003,0,0,0,0,1,0
"90100000.10a",2003,0,0,0,0,1,0
"90100049.101a",2003,1,0,0,0,0,0
"90100057.10a",2003,0,0,0,0,0,1
"90100187.10b",2003,0,0,1,0,0,0
"90100195.10a",2003,0,0,0,0,0,1
"90100226.10a",2003,0,0,0,0,1,0
"90100227.10a",2003,0,0,0,0,1,0
"90100245.10a",2003,0,0,0,0,0,1
"90100728.10b",2003,0,0,0,0,0,1
"90100736.10a",2003,0,0,0,0,0,1
"90100749.101b",2003,1,0,0,0,0,0
"90100757.10a",2003,1,0,0,0,1,0
"90100938.10a",2003,0,0,0,0,1,0
"90100941.10b",2003,0,0,0,1,0,0
"90100955.10a",2003,0,0,0,0,0,1
"90100969.100a",2003,1,0,0,0,0,0
"90101038.10a",2003,0,0,0,0,1,0
"90101243.100a",2003,0,0,0,0,1,0
"90101247.102b",2003,0,0,0,0,0,1
"90101337.101a",2003,0,0,0,0,1,1
"90101437.101b",2003,0,0,0,0,1,0
"90101633.10b",2003,0,0,0,0,1,0
"90101634.10a",2003,0,0,0,0,0,1
"90101833.10b",2003,0,0,0,1,0,0
"90102042.10a",2003,0,0,1,0,0,0
"90102133.102b",2003,0,0,0,0,0,1
"90102142.101a",2003,1,0,0,0,0,0
"90102229.101a",2003,0,0,0,0,1,0
"90102331.10a",2003,0,0,0,0,1,0
"90102338.10a",2003,0,1,0,0,0,0
"90102442.101a",2003,0,0,0,0,0,1
"90102534.101a",2003,0,0,0,0,1,0
"90102838.101a",2003,0,0,0,0,0,1
"90103228.10a",2003,0,0,0,0,1,0
"90103229.100b",2003,1,0,0,0,0,0
"90103328.102a",2003,0,0,0,0,1,0
"90103431.10a",2003,0,0,0,0,1,0
"90103462.101a",2003,0,0,0,0,1,0
"90103478.100a",2003,0,0,0,0,0,2
"90103503.10a",2003,0,0,0,0,1,0
"90103504.10a",2003,0,0,0,0,1,0
"90103518.10a",2003,0,0,0,0,1,0
"90103531.10b",2003,0,0,0,0,1,0
"90103543.10d",2003,0,0,0,0,1,0
"90103576.10a",2003,0,0,0,0,1,0
"90103582.10a",2003,0,0,0,0,1,0
"90103596.10a",2003,0,0,0,0,0,1
"90103603.102a",2003,0,0,0,0,1,0
"90103606.10a",2003,0,0,0,0,0,1
"90103621.10a",2003,0,0,0,0,1,0
"90103631.100a",2003,0,0,0,0,0,1
"90103635.10a",2003,0,0,0,0,1,0
"90103637.10a",2003,0,0,0,0,0,1
"90103648.100a",2003,0,0,0,1,0,0
"90103664.100a",2003,0,0,0,0,1,0
"90103666.10a",2003,0,0,0,0,0,1
"90103675.10a",2003,0,0,0,0,0,1
"90103679.100a",2003,0,0,0,1,0,0
"90103693.101a",2003,0,0,0,0,1,0
"90103709.10a",2003,0,0,0,0,0,1
"90103716.100b",2003,1,0,0,0,0,0
"90103747.10a",2003,0,0,0,0,2,0
"90103749.10a",2003,0,0,0,0,1,0
"90103771.10b",2003,0,0,0,0,0,1
"90103773.10a",2003,0,0,0,0,0,1
"90103785.10a",2003,0,0,0,0,1,0
"90103795.101b",2003,0,0,0,0,1,0
"90103805.101a",2003,0,0,0,0,1,0
"90103806.103a",2003,0,0,0,0,1,0
"90103816.100a",2003,0,0,0,0,0,1
"90103823.101b",2003,0,0,0,0,1,1
"90103932.101b",2003,0,0,0,0,2,0
"90103939.104a",2003,0,0,0,0,0,1
"90103939.104c",2003,0,0,0,0,1,0
"90103953.101b",2003,0,0,0,0,1,0
"90103976.102a",2003,0,0,0,0,0,1
"90103977.100b",2003,0,0,0,0,1,0
"90103984.100a",2003,0,0,0,0,0,1
"90103986.101a",2003,0,0,0,0,1,0
"90103993.101a",2003,0,0,0,0,0,1
"90104008.101c",2003,0,0,0,0,1,0
"90104009.101a",2003,0,0,0,0,0,1
"90104028.102b",2003,0,0,0,0,0,1
"90104079.103a",2003,0,0,0,0,1,0
"90104126.101a",2003,0,0,0,0,0,1
"90104129.103a",2003,0,0,0,0,0,1
"90104142.10a",2003,0,0,0,1,0,1
"90104142.10b",2003,0,0,0,1,0,0
"90104151.100a",2003,0,0,0,0,0,1
"90104151.100c",2003,0,0,0,0,1,0
"90104152.10a",2003,0,0,0,0,0,1
"90104196.10b",2003,1,0,0,0,0,0
"90104205.10a",2003,0,0,0,0,2,0
"90104215.102a",2003,0,0,0,0,1,0
"90104231.101a",2003,0,0,0,0,1,0
"90104266.101a",2003,0,0,0,0,1,0
"90104280.101a",2003,0,0,0,0,1,0
"90104301.101a",2003,0,0,0,0,1,0
"90104309.100a",2003,0,0,0,0,0,1
"90104327.101a",2003,1,0,0,0,0,0
"90104348.100a",2003,0,0,0,1,0,0
"90104348.100b",2003,1,0,0,0,0,0
"90104390.101a",2003,0,0,0,1,0,0
"90104450.102a",2003,0,0,0,0,1,0
"90104462.102a",2003,0,0,0,0,1,0
"90104464.101a",2003,0,0,0,0,1,0
"90104480.101a",2003,0,0,0,0,0,1
"90104493.101a",2003,0,0,0,0,2,0
"90104498.101b",2003,0,0,0,0,1,0
"90104501.101a",2003,0,0,0,0,1,0
"90104507.101b",2003,0,0,0,0,1,0
"90104512.100b",2003,0,0,0,0,1,0
"90104524.101a",2003,0,0,0,0,1,0
"90104527.101a",2003,0,0,0,0,1,0
"90104529.101a",2003,1,0,0,0,0,0
"90104530.101c",2003,0,0,0,0,0,1
"90104532.101a",2003,1,0,0,0,0,0
"90104539.103a",2003,0,0,0,0,1,0
"90104560.101a",2003,0,0,0,0,1,0
"90104563.103b",2003,1,0,0,0,0,0
"90104586.102a",2003,0,0,0,0,1,0
"90104588.102a",2003,0,0,0,0,1,0
"90104613.102a",2003,0,0,0,0,0,1
"90104617.101b",2003,0,0,0,0,0,1
"90104642.10b",2003,0,0,0,0,1,0
"90104643.102a",2003,0,0,0,0,1,0
"90104651.101b",2003,0,0,0,0,1,0
"90104653.101a",2003,0,0,0,0,0,1
"90104658.103a",2003,0,0,0,0,0,1
"90104660.101a",2003,0,0,0,0,1,0
"90104660.101b",2003,0,0,0,0,3,0
"90104683.101b",2003,0,0,0,0,0,1
"90104689.101a",2003,0,0,0,0,0,1
"90104693.100a",2003,0,0,0,0,1,0
"90104694.100b",2003,0,0,0,0,0,1
"90104695.101a",2003,0,0,0,1,0,0
"90104696.101b",2003,0,0,0,0,1,0
"90104697.101a",2003,0,0,0,0,1,0
"90104704.101b",2003,0,0,0,0,0,1
"90104720.100a",2003,0,0,0,0,0,1
"90104720.100b",2003,0,0,0,1,0,0
"90104722.101a",2003,0,0,0,0,1,0
"90104848.101a",2003,0,0,0,1,0,0
"90104878.101a",2003,0,0,0,0,1,0
"90104934.101a",2003,0,0,0,0,1,0
"90104938.100b",2003,0,0,0,0,1,0
"90104979.102b",2003,0,0,0,0,0,1
"90104996.101a",2003,1,0,0,0,0,0
"90105006.101b",2003,0,0,0,0,1,0
"90105007.101a",2003,0,0,0,0,1,0
"90105011.100a",2003,0,0,0,0,1,0
"90105011.100c",2003,0,0,0,0,0,1
"90105015.101a",2003,0,0,0,0,0,1
"90105026.101a",2003,0,0,0,0,0,1
"90105031.100a",2003,0,0,1,0,0,0
"90105036.102b",2003,0,0,0,1,0,0
"90105057.10a",2003,0,0,0,0,0,1
"90105071.10a",2003,0,0,0,1,0,0
"90105084.101b",2003,0,0,0,1,0,0
"90105120.102a",2003,0,0,0,0,1,0
"90105153.101b",2003,0,0,0,0,1,1
"90105156.101a",2003,0,0,0,1,0,0
"90105206.101a",2003,0,0,0,0,2,1
"90105222.100a",2003,0,0,0,0,1,0
"90105225.102a",2003,0,0,0,0,1,0
"90105227.101a",2003,0,0,0,0,0,1
"90105237.101b",2003,0,0,0,0,0,1
"90105240.101a",2003,0,0,0,0,1,0
"90105278.101a",2003,0,0,0,0,2,0
"90105298.101a",2003,0,0,0,0,1,0
"90105309.101a",2003,0,0,0,0,1,0
"90105309.101b",2003,0,0,0,0,0,1
"90105330.101a",2003,0,0,0,0,1,0
"90105331.10a",2003,0,0,0,0,1,0
"90105334.10a",2003,0,0,0,0,1,0
"90105371.100a",2003,0,0,0,0,0,1
"90105374.101a",2003,0,0,0,0,1,0
"90105374.101b",2003,0,0,0,0,0,1
"90105413.100a",2003,0,0,0,0,1,0
"90105413.102a",2003,0,0,0,0,0,1
"90105419.101a",2003,0,0,0,0,0,1
"90105442.102a",2003,0,0,0,0,1,0
"90105442.10a",2003,0,0,0,0,1,0
"90105456.101a",2003,0,0,0,0,0,1
"90105460.100b",2003,0,0,0,0,1,0
"90105463.10a",2003,0,0,0,1,0,1
"90105481.10a",2003,0,0,0,0,0,1
"90105505.101a",2003,0,0,0,0,1,0
"90105511.100a",2003,0,0,0,0,0,1
"90105512.101a",2003,0,0,0,0,0,1
"90105514.101c",2003,0,0,0,0,0,1
"90105522.101a",2003,0,0,0,0,1,0
"90105741.101a",2003,0,0,0,0,1,0
"90105743.100a",2003,0,0,0,0,1,0
"90105743.10a",2003,0,0,0,0,1,0
"90105750.10a",2003,1,0,0,0,0,0
"90105765.10c",2003,0,0,0,0,1,0
"90105789.101a",2003,0,0,0,0,0,1
"90105798.101a",2003,0,0,0,0,1,0
"90105840.10a",2003,0,0,0,0,1,0
"90105868.10c",2003,0,0,0,1,0,0
"90105879.10a",2003,1,0,0,0,0,0
"90105886.10c",2003,0,0,0,0,1,0
"90105893.10a",2003,1,0,0,0,0,0
"90105917.10a",2003,0,0,0,0,0,1
"90105929.102b",2003,0,0,0,0,0,1
"90106062.101a",2003,0,0,0,0,1,0
"90106073.100a",2003,0,0,0,0,1,0
"90106074.102b",2003,0,0,0,0,1,0
"90106083.101a",2003,0,0,0,0,1,0
"90106099.101b",2003,0,0,0,0,1,0
"90106201.100a",2003,0,0,0,0,0,1
"90106228.101a",2003,0,0,0,0,1,0
"90106249.10a",2003,0,0,0,0,1,0
