"IDpol","OccurDate","Payment","IDclaim","Guarantee"
"90169081.100a",2003-01-15,984,"8223","Damage"
"90172076.100a",2003-01-15,0,"8426","TPL"
"90176702.100a",2003-01-15,897,"7602","TPL"
"90178018.101d",2003-01-15,4468,"7423","TPL"
"90180644.100b",2003-01-15,897,"7861","TPL"
"90181481.100a",2003-01-15,146,"7887","Windscreen"
"90182383.100a",2003-01-15,201,"7626","TPL"
"90189773.100a",2003-01-15,5254,"8551","Damage"
"50200843.100a",2003-01-16,108,"7568","Theft"
"60200072.100b",2003-01-16,1531,"7449","Damage"
"90102338.10a",2003-01-16,649,"7396","Fire"
"90110355.10b",2003-01-16,58,"7328","TPL"
"90128267.101b",2003-01-16,3253,"7337","TPL"
"90128680.101a",2003-01-16,208,"7911","Windscreen"
"90132617.101a",2003-01-16,79,"7349","TPL"
"90145288.100b",2003-01-16,75,"7460","Windscreen"
"90149571.100a",2003-01-16,1397,"7436","TPL"
"90164517.100a",2003-01-16,897,"11547","TPL"
"90164649.101b",2003-01-16,75,"7689","Windscreen"
"90165749.100a",2003-01-16,0,"7518","TPL"
"90184248.100a",2003-01-16,17231,"8906","TPL"
"90187898.101c",2003-01-16,1925,"7553","Damage"
"1009544.100a",2003-01-17,163,"7660","TPL"
"30200463.100b",2003-01-17,1102,"7344","Theft"
"90108307.100a",2003-01-17,2397,"7345","TPL"
"90128700.102a",2003-01-17,2760,"7405","TPL"
"90132375.100a",2003-01-17,58,"7351","TPL"
"90160841.101a",2003-01-17,310,"8151","Windscreen"
"90187923.100a",2003-01-17,2452,"7737","TPL"
"20200251.10a",2003-01-18,534,"7777","Other"
"20200251.10a",2003-01-18,267,"8446","Damage"
"90105419.101a",2003-01-18,368,"7387","Windscreen"
"90132420.100a",2003-01-18,1271,"7336","Theft"
"90147645.100a",2003-01-18,3943,"8279","Damage"
"90160812.100a",2003-01-18,1271,"7600","Damage"
"90187347.100b",2003-01-18,10,"7624","TPL"
"1007648.100a",2003-01-19,897,"7579","TPL"
"90111342.10a",2003-01-19,525,"9517","Other"
"90114442.101b",2003-01-19,195,"8203","Windscreen"
"90129270.101b",2003-01-19,5303,"7786","Damage"
"90129561.101b",2003-01-19,580,"7286","Windscreen"
"90140555.100a",2003-01-19,23602,"7410","TPL"
"90146578.100a",2003-01-19,7313,"7494","TPL"
"90150436.100a",2003-01-19,137,"7840","Windscreen"
"90153408.100a",2003-01-19,171,"7284","Windscreen"
"90156713.100a",2003-01-19,379,"8584","Windscreen"
"90156856.100a",2003-01-19,946,"8358","TPL"
"90160425.100a",2003-01-19,421,"8229","Windscreen"
"90177857.101a",2003-01-19,566,"8010","Theft"
"90188848.100a",2003-01-19,116,"9528","Windscreen"
"40100385.101a",2003-01-20,211,"7741","Windscreen"
"80100089.101a",2003-01-20,302,"7719","Windscreen"
"90107155.101a",2003-01-20,0,"7613","TPL"
"90107155.101b",2003-01-20,1401,"9699","Windscreen"
"90108741.101a",2003-01-20,183,"8061","Windscreen"
"90110418.101a",2003-01-20,530,"7661","Windscreen"
"90119358.101a",2003-01-20,900,"7400","Theft"
"90124893.101a",2003-01-20,282,"7650","TPL"
"90128579.101a",2003-01-20,47,"7709","TPL"
"90132199.100a",2003-01-20,350,"10999","Windscreen"
"90133582.100a",2003-01-20,457,"8138","TPL"
"90134822.101b",2003-01-20,286,"8237","Windscreen"
"90146475.100a",2003-01-20,72,"8171","Windscreen"
"90148958.101a",2003-01-20,1053,"7933","TPL"
"90148988.101d",2003-01-20,323,"7668","Windscreen"
"90149496.100a",2003-01-20,360,"7492","Windscreen"
"90149920.100b",2003-01-20,923,"7512","TPL"
"90150402.100a",2003-01-20,533,"7538","Windscreen"
"90151345.100b",2003-01-20,380,"7489","Windscreen"
"90151846.100b",2003-01-20,1104,"7590","Windscreen"
"90153013.100a",2003-01-20,63,"7473","TPL"
"90153176.100a",2003-01-20,511,"8096","Windscreen"
"90155438.100a",2003-01-20,490,"7578","TPL"
"90161505.100b",2003-01-20,897,"7507","TPL"
"90176354.100a",2003-01-20,390,"10668","Windscreen"
"90181872.102b",2003-01-20,203,"13747","Theft"
"90184864.102a",2003-01-20,405,"7399","Windscreen"
"90186957.102b",2003-01-20,2452,"7567","TPL"
"1003304.100a",2003-01-21,1540,"7465","Theft"
"10200118.101a",2003-01-21,274,"7713","TPL"
"80201143.101b",2003-01-21,956,"8193","Damage"
"90101337.101a",2003-01-21,1225,"7597","TPL"
"90103771.10a",2003-01-21,335,"8335","Windscreen"
"90104348.100b",2003-01-21,257,"8188","Theft"
"90120153.101a",2003-01-21,253,"8228","Windscreen"
"90126067.101a",2003-01-21,276,"8447","TPL"
"90131511.100a",2003-01-21,0,"7850","Damage"
"90133818.100b",2003-01-21,105,"7873","Windscreen"
"90134956.100b",2003-01-21,398,"8233","Windscreen"
"90139011.101b",2003-01-21,215,"8558","Windscreen"
"90145650.100b",2003-01-21,149,"7918","Windscreen"
"90145921.100b",2003-01-21,542,"7564","TPL"
"90153232.100a",2003-01-21,1509,"9294","Damage"
"90165937.100a",2003-01-21,17,"8062","TPL"
"90180931.100c",2003-01-21,391,"7980","TPL"
"90182035.100a",2003-01-21,2534,"7395","TPL"
"90182570.100a",2003-01-21,68,"7667","TPL"
"90189878.100b",2003-01-21,2353,"7882","TPL"
"90190637.100a",2003-01-21,96,"7921","TPL"
"70205516.100a",2003-01-22,461,"8702","Windscreen"
"90103328.102a",2003-01-22,875,"7629","TPL"
"90128961.101a",2003-01-22,1548,"7692","Damage"
"90148384.100a",2003-01-22,1549,"7519","TPL"
"90152948.100a",2003-01-22,231,"8693","Windscreen"
"90172111.100a",2003-01-22,110,"7642","TPL"
"90178771.100a",2003-01-22,184,"7762","Windscreen"
"90184773.100a",2003-01-22,1862,"7715","Theft"
"80201160.101a",2003-01-23,0,"7558","TPL"
"90100245.10a",2003-01-23,389,"8126","Windscreen"
"90103679.100a",2003-01-23,1664,"7644","Theft"
"90104129.103b",2003-01-23,157,"8230","Windscreen"
"90118248.101b",2003-01-23,306,"7749","Windscreen"
"90121952.101b",2003-01-23,277,"8232","Windscreen"
"90125682.101b",2003-01-23,446,"7769","TPL"
"90153766.100a",2003-01-23,231,"8749","Windscreen"
"90157945.100a",2003-01-23,681,"7759","Windscreen"
"90159362.101a",2003-01-23,2274,"7570","Damage"
"90167784.100a",2003-01-23,1664,"7836","Damage"
"90176292.100a",2003-01-23,264,"7549","Windscreen"
"90177840.101a",2003-01-23,897,"8986","TPL"
"1005076.100a",2003-01-24,897,"7580","TPL"
"1007005.100a",2003-01-24,114,"7702","Windscreen"
"40100295.101b",2003-01-24,363,"8239","Windscreen"
"70200914.10b",2003-01-24,419,"7914","Windscreen"
"90113382.100a",2003-01-24,125,"7725","TPL"
"90116848.101a",2003-01-24,144,"8296","TPL"
"90117859.101a",2003-01-24,376,"7735","Windscreen"
"90119953.100a",2003-01-24,92,"7547","Damage"
"90124885.101a",2003-01-24,3381,"7717","Damage"
"90135398.100b",2003-01-24,897,"8065","TPL"
"90135431.101a",2003-01-24,89,"7705","Windscreen"
"90138227.100a",2003-01-24,343,"7738","Theft"
"90151285.100a",2003-01-24,263,"8333","Windscreen"
"90160837.100a",2003-01-24,290,"8025","TPL"
"90166633.100a",2003-01-24,467,"8030","Windscreen"
"90167308.100a",2003-01-24,225,"7545","TPL"
"90172479.100a",2003-01-24,967,"7700","Theft"
"90172981.100a",2003-01-24,313,"7746","Windscreen"
"90176431.100a",2003-01-24,158,"7978","TPL"
"90187884.100a",2003-01-24,48,"7742","TPL"
"90109103.101a",2003-01-25,341,"7962","TPL"
"90110950.102a",2003-01-25,97,"8189","Damage"
"90125779.101a",2003-01-25,2862,"7760","TPL"
"90145098.100c",2003-01-25,2452,"7919","TPL"
"90145764.100a",2003-01-25,1060,"8318","TPL"
"90151326.100a",2003-01-25,42,"7710","Damage"
"90155136.100a",2003-01-25,110,"8207","Windscreen"
"90156852.100b",2003-01-25,296,"8113","Windscreen"
"90172981.100a",2003-01-25,442,"7753","TPL"
"90185031.100a",2003-01-25,521,"8076","TPL"
"90100938.10a",2003-01-26,374,"7967","TPL"
"90125354.101a",2003-01-26,263,"9412","Windscreen"
"90126290.101a",2003-01-26,117,"8331","Windscreen"
"90127258.101a",2003-01-26,105,"7754","TPL"
"90150167.100a",2003-01-26,699,"12766","Windscreen"
"90153081.101a",2003-01-26,140,"7846","Windscreen"
"90153259.100a",2003-01-26,1664,"8005","Theft"
"90154842.100b",2003-01-26,1136,"8187","TPL"
"90160528.100a",2003-01-26,199,"7945","Windscreen"
"90175995.100a",2003-01-26,8567,"7504","TPL"
"90187836.100a",2003-01-26,215,"7758","Windscreen"
"90194131.100a",2003-01-26,602,"7997","Theft"
"80201149.101a",2003-01-27,364,"7844","Windscreen"
"90118450.101a",2003-01-27,449,"7903","TPL"
"90127774.101b",2003-01-27,1743,"7752","Damage"
"90132743.101a",2003-01-27,481,"7726","TPL"
"90152939.100b",2003-01-27,732,"7863","TPL"
"90154036.100a",2003-01-27,374,"8019","Windscreen"
"90157711.100a",2003-01-27,96,"8004","Windscreen"
"90172853.100b",2003-01-27,257,"7871","Windscreen"
"90181434.100a",2003-01-27,1352,"8026","TPL"
"1009221.100a",2003-01-28,386,"7854","Windscreen"
"1009332.100a",2003-01-28,1121,"10755","TPL"
"1009332.100a",2003-01-28,1121,"12566","TPL"
"233.101a",2003-01-28,299,"8035","Windscreen"
"90109134.100a",2003-01-28,1403,"8152","Other"
"90124854.101a",2003-01-28,306,"7748","Windscreen"
"90127099.101b",2003-01-28,269,"7924","TPL"
"90133407.101c",2003-01-28,253,"8036","Windscreen"
"90141453.100a",2003-01-28,542,"8069","Fire"
"90144796.100a",2003-01-28,133,"7796","TPL"
"90146643.101a",2003-01-28,649,"7909","TPL"
"90148557.101a",2003-01-28,897,"11549","TPL"
"90149570.101a",2003-01-28,897,"7922","TPL"
"90168014.101a",2003-01-28,110,"8424","Windscreen"
"90176025.101b",2003-01-28,307,"7771","Windscreen"
"90180784.100c",2003-01-28,451,"7543","Windscreen"
"90184926.100a",2003-01-28,1650,"7822","TPL"
"90187195.100a",2003-01-28,314,"9593","Windscreen"
"90192041.100a",2003-01-28,311,"7985","Windscreen"
"90104529.101a",2003-01-29,746,"8371","Damage"
"90124575.101a",2003-01-29,286,"8418","Windscreen"
"90124788.101a",2003-01-29,373,"7857","Windscreen"
"90125171.102a",2003-01-29,261,"8944","Windscreen"
"90126067.101a",2003-01-29,388,"7855","Windscreen"
"90128574.101a",2003-01-29,284,"8502","Windscreen"
"90133260.101b",2003-01-29,562,"7934","TPL"
"90133931.100a",2003-01-29,150,"7884","Windscreen"
"90133998.100a",2003-01-29,1538,"8250","Damage"
"90134055.100a",2003-01-29,897,"7929","TPL"
"90141267.100a",2003-01-29,344,"7913","TPL"
"90145989.101a",2003-01-29,164,"8143","TPL"
"90146541.100a",2003-01-29,427,"7900","Windscreen"
"90149817.100b",2003-01-29,1630,"7904","Other"
"90151430.100b",2003-01-29,161,"7917","Windscreen"
"90156473.100a",2003-01-29,331,"8340","Windscreen"
"90156904.100b",2003-01-29,1209,"7897","TPL"
"90159294.100a",2003-01-29,479,"8195","Theft"
"90181195.100a",2003-01-29,333,"7905","TPL"
"90186835.100a",2003-01-29,0,"8246","Other"
"90186836.100a",2003-01-29,62,"8043","TPL"
"90194422.100a",2003-01-29,1009,"8457","Damage"
"90104450.102a",2003-01-30,229,"8140","TPL"
"90108435.101b",2003-01-30,0,"8634","TPL"
"90127521.101a",2003-01-30,291,"7902","TPL"
"90134908.100a",2003-01-30,237,"7766","Windscreen"
"90148561.100a",2003-01-30,2171,"7952","TPL"
"90151557.100a",2003-01-30,1008,"8014","TPL"
"90168122.100a",2003-01-30,233,"8374","TPL"
"90180058.101b",2003-01-30,4149,"8098","Damage"
"50100019.104b",2003-01-31,398,"7984","Windscreen"
"90104527.101a",2003-01-31,80,"8072","TPL"
"90105512.101a",2003-01-31,144,"8338","Windscreen"
"90106797.10a",2003-01-31,897,"10748","TPL"
"90106813.10a",2003-01-31,1676,"8050","Damage"
"90110858.103a",2003-01-31,701,"7892","TPL"
"90128256.101a",2003-01-31,897,"7928","TPL"
"90129675.101b",2003-01-31,4903,"10005","TPL"
"90158947.100a",2003-01-31,1595,"8185","Damage"
"90167946.101a",2003-01-31,165,"8450","Windscreen"
"90183850.100a",2003-01-31,595,"7969","TPL"
"90193799.100a",2003-01-31,59,"8256","Damage"
"90132854.100a",2003-02-01,1815,"8135","Damage"
"90146048.100a",2003-02-01,897,"8048","TPL"
"90153748.100b",2003-02-01,1226,"8227","Other"
"90169894.100a",2003-02-01,386,"13303","Windscreen"
"90178975.100b",2003-02-01,230,"8089","Windscreen"
"1007385.100a",2003-02-02,596,"8208","Windscreen"
"90105225.102a",2003-02-02,1217,"7972","TPL"
"90105917.10a",2003-02-02,610,"8150","Windscreen"
"90108869.101a",2003-02-02,402,"8082","TPL"
"90110407.101a",2003-02-02,555,"8422","Theft"
"90127323.101b",2003-02-02,226,"7958","Windscreen"
"90131540.100c",2003-02-02,301,"8066","Windscreen"
"90134604.100b",2003-02-02,172,"7993","Windscreen"
"90144870.101a",2003-02-02,233,"8326","Windscreen"
"90145444.100a",2003-02-02,701,"8127","Other"
"90148572.100a",2003-02-02,1153,"8316","Damage"
"90155078.100a",2003-02-02,294,"8455","Windscreen"
"90156023.101a",2003-02-02,1121,"8205","TPL"
"90166392.101a",2003-02-02,704,"8623","Windscreen"
"90175897.100a",2003-02-02,494,"11379","Windscreen"
"10100330.101b",2003-02-03,0,"8231","Damage"
"80200741.101d",2003-02-03,134,"8384","Windscreen"
"90106908.10a",2003-02-03,1191,"8021","TPL"
"90108689.101a",2003-02-03,897,"8068","TPL"
"90109674.102a",2003-02-03,645,"8095","TPL"
"90124660.101b",2003-02-03,337,"8029","Windscreen"
"90125465.101a",2003-02-03,48,"8124","Windscreen"
"90127786.101a",2003-02-03,549,"7937","TPL"
"90130983.100a",2003-02-03,130,"8325","Windscreen"
"90132175.100a",2003-02-03,311,"9407","Windscreen"
"90134789.100a",2003-02-03,315,"8122","Theft"
"90136374.100a",2003-02-03,298,"8900","Windscreen"
"90145177.101b",2003-02-03,229,"9336","Windscreen"
"90147661.100a",2003-02-03,112,"8492","Windscreen"
"90148523.101a",2003-02-03,863,"8265","Windscreen"
"90158014.100a",2003-02-03,179,"8255","TPL"
"90179308.101a",2003-02-03,576,"8008","Theft"
"90193820.100b",2003-02-03,86,"8147","Windscreen"
"40202177.101b",2003-02-04,0,"9263","TPL"
"90127107.102a",2003-02-04,897,"9502","TPL"
"90133161.101b",2003-02-04,12692,"8220","TPL"
"90145208.101c",2003-02-04,733,"8274","TPL"
"90150855.100a",2003-02-04,201,"8306","TPL"
"90164574.102a",2003-02-04,964,"8538","TPL"
"90174235.100a",2003-02-04,78,"8396","Windscreen"
"90180927.100c",2003-02-04,2452,"8168","TPL"
"90183998.100a",2003-02-04,25,"9643","Other"
"90104152.10a",2003-02-05,148,"8888","Windscreen"
"90118550.101b",2003-02-05,210,"8131","TPL"
"90132566.100b",2003-02-05,255,"9462","Windscreen"
"90144893.100c",2003-02-05,96,"8436","Damage"
"90148407.100a",2003-02-05,241,"8403","Windscreen"
"90154176.100a",2003-02-05,214,"8245","TPL"
"90157032.100a",2003-02-05,336,"8880","Windscreen"
"90157995.100d",2003-02-05,160,"8248","TPL"
"90180161.100a",2003-02-05,2452,"8648","TPL"
"90182610.100a",2003-02-05,897,"8764","TPL"
"90184030.100a",2003-02-05,561,"8217","TPL"
"90194771.100a",2003-02-05,203,"8609","Windscreen"
"90119164.101a",2003-02-06,167,"8876","Windscreen"
"90127898.100b",2003-02-06,4155,"8291","TPL"
"90148378.100a",2003-02-06,228,"8103","Windscreen"
"90149202.100a",2003-02-06,546,"8501","Damage"
"90151856.101a",2003-02-06,897,"8314","TPL"
"90154329.100c",2003-02-06,2333,"8266","TPL"
"90155070.100a",2003-02-06,1523,"8177","TPL"
"90179846.100a",2003-02-06,83,"8348","Windscreen"
"90187950.100a",2003-02-06,1121,"9589","TPL"
"90193882.100b",2003-02-06,414,"8198","Windscreen"
"1007037.100c",2003-02-07,715,"8264","Damage"
"90106254.10a",2003-02-07,1059,"8257","TPL"
"90108433.100c",2003-02-07,0,"8399","Damage"
"90109524.101a",2003-02-07,240,"8846","Windscreen"
"90132577.100a",2003-02-07,449,"8385","TPL"
"90145933.101a",2003-02-07,165,"8954","TPL"
"90149833.100a",2003-02-07,2552,"8218","TPL"
"90180356.100a",2003-02-07,93,"8310","TPL"
"90180644.100b",2003-02-07,301,"8387","Windscreen"
"90180858.101a",2003-02-07,897,"8289","TPL"
"90187961.100d",2003-02-07,45,"8366","TPL"
"90194713.100a",2003-02-07,583,"8552","Theft"
"90108241.101b",2003-02-08,1676,"8301","TPL"
"90108681.101a",2003-02-08,127,"8312","Windscreen"
"90127483.101a",2003-02-08,148,"9418","Windscreen"
"90129062.101a",2003-02-08,261,"8867","Windscreen"
"90129771.100a",2003-02-08,16530,"8494","TPL"
"90139179.101b",2003-02-08,594,"8476","TPL"
"90152027.101a",2003-02-08,442,"12958","Damage"
"90155176.100a",2003-02-08,138,"8515","Windscreen"
"90158392.100a",2003-02-08,1240,"8559","Damage"
"90181031.101c",2003-02-08,312,"8522","Windscreen"
"90185089.100a",2003-02-08,897,"8383","TPL"
"10200537.101a",2003-02-09,2345,"8283","Damage"
"90126118.101a",2003-02-09,56,"8442","Windscreen"
"90132534.101a",2003-02-09,217,"8598","TPL"
"90135338.102a",2003-02-09,142,"8540","TPL"
"90150209.101a",2003-02-09,1539,"8308","TPL"
"90154479.100b",2003-02-09,419,"8676","TPL"
"90156582.100a",2003-02-09,113,"8444","Windscreen"
